date,weight,temp,nedbor,vind
5/29/2020,37566,8.1,0,7.5
5/30/2020,13517,10.6,0.1,5.2
5/31/2020,13569,12.2,0,6.3
6/1/2020,20049,8.3,0,7.5
6/2/2020,79808,7.4,0.7,8.1
6/3/2020,60236,9.2,0.8,9.9
6/4/2020,68405,11.2,0,9.9
6/5/2020,55324,10.6,0,7.9
6/6/2020,30546,8.1,0,8.9
6/7/2020,21809,6.9,0.1,7.7
6/8/2020,45381,7.7,1.2,6.7
6/9/2020,53941,8.2,0,10.7
6/10/2020,56476,8.7,0,9.6
6/11/2020,49820,9.3,0,7.3
6/12/2020,44865,14.3,0.1,10
6/13/2020,19670,11.7,0,5.1
6/14/2020,16141,9.3,2.4,7.8
6/15/2020,45472,10.3,1.2,8.2
6/16/2020,31801,11.3,0,7.7
6/17/2020,41421,9.6,0.1,13.4
6/18/2020,51237,9.6,0,12.8
6/19/2020,21893,13.1,0,10.5
6/20/2020,10413,14.7,0,7
6/21/2020,10175,15.7,0,7.7
6/22/2020,52629,14,0,7.9
6/23/2020,45050,12.7,0,9.6
6/24/2020,48815,13.1,3.2,9.8
6/25/2020,47443,11.9,0,7.9
6/26/2020,26593,11.9,0,10.4
6/27/2020,10450,13.5,0,10.7
6/28/2020,6855,10,0,18.7
6/29/2020,33271,8.1,0.1,20.2
6/30/2020,17762,9,0.1,13.8
7/1/2020,20690,10.3,0.2,7.5
7/2/2020,26991,11,0,6.1
7/3/2020,27382,10.9,0,4.6
7/4/2020,22151,10.6,0,7.5
7/5/2020,11843,10.2,0.1,11.9
7/6/2020,29974,10,0,10.3
7/7/2020,24132,11.1,0.4,6.6
7/8/2020,42686,11.8,0.1,7.9
7/9/2020,27089,12.4,0.6,6.4
7/10/2020,42804,11.6,4.5,10.4
7/11/2020,22935,11.5,4.7,7.8
7/12/2020,4753,12.5,0,8
7/13/2020,40707,12.5,0.2,8.3
7/14/2020,47565,14.1,0,6.1
7/15/2020,36693,13.3,0,4.7
7/16/2020,52023,13.2,4,10
7/17/2020,47223,13.7,11.9,9.5
7/18/2020,11659,14.4,0.3,9.1
7/19/2020,6878,13.4,0,5.4
7/20/2020,24401,12.7,0,4.9
7/21/2020,29505,12.6,0,7.8
7/22/2020,38960,11.3,0.1,13.2
7/23/2020,24647,11.1,5.5,12.4
7/24/2020,21846,11.4,1.8,7
7/25/2020,15086,13,8.6,8
7/26/2020,10281,14.8,0,10
7/27/2020,36743,14.2,2,8.7
7/28/2020,27230,15,0,8.2
7/29/2020,19287,15.2,0,7.8
7/30/2020,36026,12.8,0,5.7
7/31/2020,26396,12.8,0.3,5.2
8/1/2020,14241,14.2,0,7.5
8/2/2020,18300,15.1,0,6.5
8/3/2020,51343,12.6,5.3,10.5
8/4/2020,43339,13.3,2.7,6.7
8/5/2020,57530,13.5,0.1,9.5
8/6/2020,62180,13.5,1.4,6.1
8/7/2020,63605,14.5,0,8.9
8/8/2020,26918,12.7,5.7,10.9
8/9/2020,14222,12.8,0.2,5.1
8/10/2020,43086,13.6,0,6.6
8/11/2020,62729,13.7,0,5.9
8/12/2020,77017,12.7,0,7.3
8/13/2020,66573,12.8,0.4,13.3
8/14/2020,66091,12.6,5.5,11.8
8/15/2020,16591,10.4,0.2,13.8
8/16/2020,18809,10.8,0.7,9.1
8/17/2020,45681,10.7,0.1,5.4
8/18/2020,45436,11,0,7.4
8/19/2020,72644,11,0.8,5.8
8/20/2020,76948,12.2,0,7.9
8/21/2020,102152,14.6,4,9.3
8/22/2020,30498,12.2,2.3,10.8
8/23/2020,15793,11,0,8.4
8/24/2020,63598,11.2,0.2,9.4
8/25/2020,68603,10.2,1.8,8.7
8/26/2020,72503,9.4,0.7,7.9
8/27/2020,95056,9.5,1.1,7.1
8/28/2020,90613,9.8,0,6.7
8/29/2020,35010,9.3,2.7,9.6
8/30/2020,25882,10.2,0.2,10.6
8/31/2020,85710,12.5,3.6,10.3
9/1/2020,72359,13.1,0,9
9/2/2020,87092,14.6,0.2,8.2
9/3/2020,94160,12.9,0,7.1
9/4/2020,89211,12.3,0.8,5.5
9/5/2020,20509,11.7,0,7
9/6/2020,18379,11.3,1.3,13.9
9/7/2020,72723,10.9,12.3,16.1
9/8/2020,54214,9.5,5.2,14.7
9/9/2020,52037,9.4,3.1,13.6
9/10/2020,51864,10.6,3.3,13.2
9/11/2020,54103,11.2,13.5,12.5
9/12/2020,21828,10.1,4.4,14.6
9/13/2020,9889,10.3,7.9,14
9/14/2020,59803,8.8,7.7,10.2
9/15/2020,73273,8.4,6,13.2
9/16/2020,86426,9.1,0,14.7
9/17/2020,65962,10,11.9,17.1
9/18/2020,42279,8.7,0,14.3
9/19/2020,14364,9.7,5.5,17.5
9/20/2020,10201,9.6,17.9,25.2
9/21/2020,35197,7.3,1,20.2
9/22/2020,38025,8.6,5.9,28.9
9/23/2020,47611,7.4,7.6,17.8
9/24/2020,42296,7.5,14.6,20.2
9/25/2020,61180,6.8,10.6,8.5
9/26/2020,29485,9.3,0,9.8
9/27/2020,26039,12.3,0.1,8.9
9/28/2020,101626,11.6,0.2,8.8
9/29/2020,107200,11.7,0.2,7.1
9/30/2020,131779,12.2,0,7.8
10/1/2020,120162,11.6,0,6
10/2/2020,98870,11.6,0.1,8.1
10/3/2020,55749,12,0,10.7
10/4/2020,39777,12.2,0,11.2
10/5/2020,99540,12,0,10.4
10/6/2020,102639,12.3,0,11.2
10/7/2020,92115,11.2,4.1,12.9
10/8/2020,100994,10.8,0.1,7.1
10/9/2020,116574,10.3,4.6,7
10/10/2020,52846,9.2,0.1,11.6
10/11/2020,39386,8.2,10.5,10.8
10/12/2020,109899,7,0,10.6
10/13/2020,119070,7.2,2.8,11.4
10/14/2020,99963,5.8,1.7,21.6
10/15/2020,94636,6.1,5.6,19.1
10/16/2020,110831,5,0.5,8.2
10/17/2020,42524,4.4,0,6.6
10/18/2020,31855,4.8,0.5,10.3
10/19/2020,101136,4,0.2,9.1
10/20/2020,100230,5.3,0.8,12.9
10/21/2020,105724,6.5,1.6,9.7
10/22/2020,108456,6.3,0,15.2
10/23/2020,109308,8.9,9.9,13.3
10/24/2020,41572,8.3,2.5,13.6
10/25/2020,29156,7.8,0,5.9
10/26/2020,52528,6.1,5.3,11.8
10/27/2020,75842,5,0,11.4
10/28/2020,118702,8,1.5,15.9
10/29/2020,107690,9.6,0,12.9
10/30/2020,102438,8.7,2,12.6
10/31/2020,36884,7.7,12,13.9
11/1/2020,35791,6.5,1.7,15.1
