"jaktar","sn","salg","min_airport_dist_km","area_ha","cabins_count","region","municipality","elevation","elevationmax","reallonn","tetthet","population","jeger_f","jeger_m","jeger_t","nearest_station","lufttemperatur","vindhastighet","nedbor","luftfuktighet","jeger_tett","reallonn_cap"
"2014-15","HAS2",921,10.766152008386,11557.6527466351,0,"Vest Finnmark kyst","Hasvik",232.623254189944,573,474.3,13.1,1054,0,75,75,"SN93000",0.97692750287687,10.1646720368239,NA,82.7318757192175,0.071157495256167,0.45
"2014-15","HAS3",297,25.2934692969432,17910.9218888885,0,"Vest Finnmark kyst","Hasvik",243.83914711358,649,474.3,13.1,1054,0,75,75,"SN93000",0.973308270676692,8.74473684210526,NA,81.7481203007519,0.071157495256167,0.45
"2014-15","HAS4",7,21.4733053773291,8001.17483296097,0,"Vest Finnmark kyst","Hasvik",388.037739625301,937,474.3,13.1,1054,0,75,75,"SN92875",NA,NA,NA,NA,0.071157495256167,0.45
"2014-15","KAR1",128,46.8713616743026,49954.0448394668,0,"Indre Finnmark","Karasjok",444.748688910475,627,474.3,8.8,2668,10,65,75,"SN97350",-0.141666666666667,2.59010416666667,1.12890625,82.2604166666667,0.0281109445277361,0.177773613193403
"2014-15","KAR10",25,83.8517400585982,44978.2616100884,0,"Indre Finnmark","Karasjok",324.912387417716,637,474.3,8.8,2668,10,65,75,NA,NA,NA,NA,NA,0.0281109445277361,0.177773613193403
"2014-15","KAR11",27,87.2613919857366,43588.1102747219,0,"Indre Finnmark","Karasjok",304.158635009249,639,474.3,8.8,2668,10,65,75,NA,NA,NA,NA,NA,0.0281109445277361,0.177773613193403
"2014-15","KAR12",11,96.5434722341159,29560.0433044422,0,"Indre Finnmark","Karasjok",280.4911843537,535,474.3,8.8,2668,10,65,75,NA,NA,NA,NA,NA,0.0281109445277361,0.177773613193403
"2014-15","KAR13",9,76.2722642800721,46870.9831900514,0,"Indre Finnmark","Karasjok",364.506275846088,536,474.3,8.8,2668,10,65,75,NA,NA,NA,NA,NA,0.0281109445277361,0.177773613193403
"2014-15","KAR14",11,101.947381242743,19148.9212199563,0,"Indre Finnmark","Karasjok",261.839223128717,363,474.3,8.8,2668,10,65,75,NA,NA,NA,NA,NA,0.0281109445277361,0.177773613193403
"2014-15","KAR2",99,42.9798104739387,41330.987882405,0,"Indre Finnmark","Karasjok",406.261134984258,1014,474.3,8.8,2668,10,65,75,"SN97251",1.70238095238095,1.81428571428571,2.02440476190476,83.3571428571429,0.0281109445277361,0.177773613193403
"2014-15","KAR3",80,46.8805276205597,37585.443208477,0,"Indre Finnmark","Karasjok",310.545453535069,463,474.3,8.8,2668,10,65,75,"SN97120",NA,NA,NA,NA,0.0281109445277361,0.177773613193403
"2014-15","KAR4",11,48.11263347742,28167.4123560319,0,"Indre Finnmark","Karasjok",377.222464445137,771,474.3,8.8,2668,10,65,75,"SN97120",NA,NA,NA,NA,0.0281109445277361,0.177773613193403
"2014-15","KAR5",31,61.2701275544843,35412.3660791433,0,"Indre Finnmark","Karasjok",281.089641970626,462,474.3,8.8,2668,10,65,75,"SN97251",-1.994,1.796,0.844,84.36,0.0281109445277361,0.177773613193403
"2014-15","KAR6",71,59.7645206618583,30085.529529011,0,"Indre Finnmark","Karasjok",313.889722194591,459,474.3,8.8,2668,10,65,75,"SN97251",0.674242424242424,2.21515151515152,1.42954545454545,82.9393939393939,0.0281109445277361,0.177773613193403
"2014-15","KAR7",7,67.0855627024886,17613.8499883329,0,"Indre Finnmark","Karasjok",337.264091284569,466,474.3,8.8,2668,10,65,75,"SN97251",2.10714285714286,1.95714285714286,0.0142857142857143,81.1428571428571,0.0281109445277361,0.177773613193403
"2014-15","KAR8",169,70.3779285438587,33017.8331704097,0,"Indre Finnmark","Karasjok",388.025550192623,494,474.3,8.8,2668,10,65,75,"SN97350",-1.51350364963504,1.31094890510949,1.58029197080292,82.8832116788321,0.0281109445277361,0.177773613193403
"2014-15","KAR9",33,71.1016714271536,58641.3052940058,0,"Indre Finnmark","Karasjok",341.156330433379,473,474.3,8.8,2668,10,65,75,"SN97350",2.21774193548387,1.94193548387097,1.23225806451613,84.3548387096774,0.0281109445277361,0.177773613193403
"2014-15","KAU13",6,34.1237873862581,22931.2040473,0,"Indre Finnmark","Kautokeino",471.533903322474,657,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU14",59,28.2023484510751,19267.3175103451,0,"Indre Finnmark","Kautokeino",439.826883748491,577,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU15",93,15.745369000153,14724.4985022993,0,"Indre Finnmark","Kautokeino",370.76364212298,476,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU16",199,12.4367655954979,17867.0408288531,0,"Indre Finnmark","Kautokeino",414.284875429587,580,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU17",66,14.694451473289,18092.9559129378,0,"Indre Finnmark","Kautokeino",411.762075533409,583,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU18",212,38.7668577325468,23031.5319962149,0,"Indre Finnmark","Kautokeino",401.630702170687,531,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU19",57,54.0888449574294,27464.3227986483,0,"Indre Finnmark","Kautokeino",380.668387911236,487,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
